,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2,date,StationId
101,2020-01-02 01:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
102,2020-01-02 01:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
103,2020-01-02 01:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
104,2020-01-02 02:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
105,2020-01-02 02:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
106,2020-01-02 02:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
107,2020-01-02 02:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
108,2020-01-02 03:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
109,2020-01-02 03:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
110,2020-01-02 03:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
111,2020-01-02 03:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
112,2020-01-02 04:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
113,2020-01-02 04:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
114,2020-01-02 04:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
115,2020-01-02 04:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
116,2020-01-02 05:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
117,2020-01-02 05:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
118,2020-01-02 05:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
119,2020-01-02 05:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
120,2020-01-02 06:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
121,2020-01-02 06:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
122,2020-01-02 06:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
123,2020-01-02 06:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
124,2020-01-02 07:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
125,2020-01-02 07:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
126,2020-01-02 07:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
127,2020-01-02 07:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
128,2020-01-02 08:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
129,2020-01-02 08:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
130,2020-01-02 08:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
131,2020-01-02 08:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
132,2020-01-02 09:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
133,2020-01-02 09:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
134,2020-01-02 09:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
135,2020-01-02 09:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
136,2020-01-02 10:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
137,2020-01-02 10:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
138,2020-01-02 10:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
139,2020-01-02 10:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
140,2020-01-02 11:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
141,2020-01-02 11:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
142,2020-01-02 11:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
143,2020-01-02 11:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
144,2020-01-02 12:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
145,2020-01-02 12:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
146,2020-01-02 12:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
147,2020-01-02 12:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
148,2020-01-02 13:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
149,2020-01-02 13:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
150,2020-01-02 13:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
151,2020-01-02 13:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
152,2020-01-02 14:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
153,2020-01-02 14:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
154,2020-01-02 14:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
155,2020-01-02 14:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
156,2020-01-02 15:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
157,2020-01-02 15:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
158,2020-01-02 15:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
159,2020-01-02 15:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
160,2020-01-02 16:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
161,2020-01-02 16:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
162,2020-01-02 16:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
163,2020-01-02 16:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
164,2020-01-02 17:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
165,2020-01-02 17:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
166,2020-01-02 17:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
167,2020-01-02 17:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
168,2020-01-02 18:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
169,2020-01-02 18:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
170,2020-01-02 18:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
171,2020-01-02 18:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
172,2020-01-02 19:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
173,2020-01-02 19:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
174,2020-01-02 19:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
175,2020-01-02 19:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
176,2020-01-02 20:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
177,2020-01-02 20:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
178,2020-01-02 20:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
179,2020-01-02 20:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
180,2020-01-02 21:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
181,2020-01-02 21:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
182,2020-01-02 21:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
183,2020-01-02 21:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
184,2020-01-02 22:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
185,2020-01-02 22:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
186,2020-01-02 22:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
187,2020-01-02 22:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
188,2020-01-02 23:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
189,2020-01-02 23:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
190,2020-01-02 23:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
191,2020-01-02 23:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
192,2020-01-03 00:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
193,2020-01-03 00:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
