From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
02-01-2020 14:00,02-01-2020 14:15,43.4,165.4,3.9,32.1,35,32.71
02-01-2020 14:15,02-01-2020 14:30,43.4,165.4,3.5,35.4,37.9,33.11
02-01-2020 14:30,02-01-2020 14:45,44.4,162.5,4,33,36,27.74
02-01-2020 14:45,02-01-2020 15:00,53.2,135.9,4.3,32.6,35.9,37.2
02-01-2020 15:00,02-01-2020 15:15,53.2,135.9,4.4,35.2,38.6,26.75
02-01-2020 15:15,02-01-2020 15:30,53.2,135.9,4.4,33.1,36.5,32.04
02-01-2020 15:30,02-01-2020 15:45,53.4,135.1,4.5,36.2,39.7,30.04
02-01-2020 15:45,02-01-2020 16:00,54.5,128.7,5.4,42.5,46.9,7.1
02-01-2020 16:00,02-01-2020 16:15,54.5,128.7,11.2,58.2,68.5,8.09
02-01-2020 16:15,02-01-2020 16:30,54.5,128.7,32,73.3,104.2,6.33
02-01-2020 16:30,02-01-2020 16:45,58.1,130.8,90.1,87.3,176.4,4.31
02-01-2020 16:45,02-01-2020 17:00,90.8,150.2,57.3,80.2,136.5,8.51
02-01-2020 17:00,02-01-2020 17:15,90.8,150.2,29,64,92,14.78
02-01-2020 17:15,02-01-2020 17:30,90.8,150.2,26.7,73.2,98.9,5.6
02-01-2020 17:30,02-01-2020 17:45,89.9,149.9,26.6,72.1,97.8,7.46
02-01-2020 17:45,02-01-2020 18:00,81.8,147.3,25.2,72,96.2,10.2
02-01-2020 18:00,02-01-2020 18:15,81.8,147.3,31.4,69,99.4,4.32
02-01-2020 18:15,02-01-2020 18:30,81.8,147.3,40.6,68.7,108.3,4.42
02-01-2020 18:30,02-01-2020 18:45,80.4,146.2,109.8,74.7,183.5,4.3
02-01-2020 18:45,02-01-2020 19:00,67.6,136.7,140.7,67.7,207.3,4.39
02-01-2020 19:00,02-01-2020 19:15,67.6,136.7,132,69.5,200.5,4.34
02-01-2020 19:15,02-01-2020 19:30,67.6,136.7,188.5,74.6,262.1,4.08
